scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level
Pectinodon,Pectinodon,Comb tooth,OMNIVORE,3.490035311276791,94.6753585972111,1.1903924341534642,Bipedal,Late Cretaceous,North America,Troodontid theropod,1970,USA,Small bird-like predator,Unknown
Eousdryosaurus,Eousdryosaurus,eastern Dryosaurus,Herbivore,1.683900444069606,15.91451768281309,0.9271795563013774,Bipedal,Late Jurassic (Kimmeridgian),Europe (Portugal),Dryosaurid ornithopod with long tail and legs,2014,"Lourinhã Formation, Portugal",Eastern relative of Dryosaurus from Europe,Medium
Rapetosaurus,Rapetosaurus,Fast lizard,,13.911963537378158,18457.902161767142,5.39927004692135,Quadrupedal,Late Cretaceous,Madagascar,Titanosaur sauropod,2001,Madagascar,Very large sauropod,Medium
Paranthodon,Paranthodon,Near flower tooth,Herbivore,4.114900205117174,510.8489721938144 kg,1.4452176492722761,Quadrupedal,Early Cretaceous,Africa,Stegosaurid dinosaur,1912,South Africa,Medium-sized stegosaur,Unknown
Velocipes,Velocipes,Swift foot,Carnivore,2.0395073204043563,52.67760857142587,0.7681877044748665,Bipedal,Late Triassic,Europe,Theropod dinosaur,2005,Portugal,Small theropod,Small
Kangnasaurus,Kangnasaurus,Kangnas lizard,Herbivore,5.740588521797305,2154.3956158472743,2.5304856908310978,Bipedal,Late Cretaceous,Africa,Small iguanodontian,1995,South Africa,"Light build, fast runner",Medium
Prodeinodon,Prodeinodon,Before Deinodon,,6.040560618015087,611.1987151577455,1.8436023505571615,Bipedal,Early Cretaceous,Asia,Theropod dinosaur,1920,China,Large predator,Medium
Plesiohadros,Plesiohadros,Near hadrosaur,Herbivore,5.930674214693914,,2.0532582279031253,Bipedal,Late Cretaceous,Asia (China),Hadrosauroid dinosaur,2004,China,Medium-sized hadrosauroid,Unknown
Stormbergia,Stormbergia,"Stormberg (place)  ",carnivor,2.05198652148822,,0.93060191325574,Bipedal,Late Triassic,Africa,Prosauropod dinosaur,1994,South Africa,Small early herbivore,Medium
Ligabuesaurus,Ligabuesaurus,Almond tooth,Herbivore,11.843764675560074,6478.581690688665,4.590289289835896,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low
Crichtonpelta,Crichtonpelta,Crichton's shield,Herbivore,3.9540344663265587,487.02215227199355,1.3722870188191698,Quadrupedal,Late Cretaceous (Cenomanian),Asia (China),Ankylosaur with fused cranial plates,2015,"Jiufotang Formation, Liaoning Province",More complete than Crichtonsaurus; robust skull armor,Low
Venenosaurus,Venenosaurus,Poison lizard,Herbivore,13.604800103248676,6824.554005466091,5.006329385144869,Quadrupedal,Late Cretaceous,North America,Sauropod dinosaur,1999,USA,Large sauropod,Large
Tlatolophus,Tlatolophus,Speech crest,Herbivore,7.47035845301042,3711.6851699364834,3.1213676133893853,Bipedal,Late Cretaceous,North America,Hadrosaurid dinosaur,2021,Mexico,Medium hadrosaur,Medium
Narindasaurus,Narindasaurus,Narinda lizard,Herbivore,7.652226111331792,7595.245451448279,3.6163945010925516,Quadrupedal,Late Jurassic,Madagascar,Sauropod dinosaur,2020,Madagascar,Large sauropod,Large
Lirainosaurus,Lirainosaurus,Slender lizard,Herbivore,5.932577591107897,3911.1109639144593,3.4911552262218555,Quadrupedal,Late Cretaceous,Europe (Spain),Titanosaurian sauropod,1999,Spain,Small European titanosaur,Medium
Ornithomimus,Ornithomimus,Bird mimic,Omnivore,3.7112504093392795,138.71192869736464,1.9580909577318601,Bipedal,Late Cretaceous,North America,"Fast runner, likely feathered",1890,"Alberta, Canada","Long legs and neck, bird-like beak",Medium
Lapampasaurus,Lapampasaurus,La Pampa lizard,Herbivore,6.31297486735126,3691.2685424729357,2.392348975391976,Bipedal,Late Cretaceous,South America,Sauropod dinosaur,2019,Argentina,Late Cretaceous titanosaur,Medium
Gargoyleosaurus,Gargoyleosaurus,Near horned face,Herbivore,5.569020107121821,2168.002820928912,1.8911703420455155,Quadrupedal,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low
Astrophocaudia,Astrophocaudia,star tail,"herbivore ",16.831396000153894,14060.941680217775,5.835332003888139,Quadrupedal,Early Cretaceous (Albian),"North America (Texas, USA)",Titanosauriform sauropod with long tail,2012,"Trinity Group, Texas",Closely related to Sauroposeidon,Low
Beipiaosaurus,Beipiaosaurus,Near bird,Carnivore,0.5289112621721325,0.3793879756912785,0.27266981476072943,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium
Huadanosaurus,Huadanosaurus,Huada lizard,Herbivore,6.312777529623928,3633.9101119793268,2.4505839278127177,Bipedal,Late Cretaceous,Asia,Hadrosaur dinosaur,2013,China,Medium hadrosaur,Medium
Tianzhenosaurus,Tianzhenosaurus,"Tianzhen lizard  ",carnivor,5.90207484617814,1456.3006029880523,2.3190233602589565,Quadrupedal,Late Cretaceous,Asia,Ankylosaurid dinosaur,1983,China,Medium armored dinosaur,Medium
Patagonykus,Patagonykus,Patagonian claw,Carnivore,2.1370060335449184,50.256505300000796,0.9253662703916197,Bipedal,Late Cretaceous,South America,Alvarezsaurid theropod,1993,Argentina,Small feathered predator,Unknown
Lessemsaurus,Lessemsaurus,Lessems lizard,Herbivore,12.68868284050981,nan kg,3.349012756890211,Bipedal,Late Triassic,South America,Sauropodomorph dinosaur,1999,Argentina,Early large sauropodomorph,Medium
Dravidosaurus,Dravidosaurus,Dravido lizard,Herbivore,5.485397883507406,1832.4084094767697 kg,2.067175534115602,Quadrupedal,Late Cretaceous,Asia,Stegosaur dinosaur,1986,India,Medium stegosaur,Medium
Maleevus,Maleevus,Maleev's lizard,Carnivore,6.0586395643406625,660.5210029058566,2.4885701577904475,Bipedal,Late Cretaceous,Asia (Mongolia),Theropod dinosaur,1965,Mongolia,Medium-sized predator,Medium
Aepisaurus,Aepisaurus,Late lizard (Greek Αἴψις = lofty),"herbivore ",13.710435426343603,,4.506537131038181,Quadrupedal,Late Cretaceous,France,"Large, rare sauropod; limited material known",1852,"Lot Formation, southern France",Large limb bones; fragmentary,Low
Trierarchuncus,Trierarchuncus,Commander’s claw,OMNIVORE,3.121643205047918,110.28438209141495,1.0752580904725904,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2020,USA,Small predator,Small
Cathetosaurus,Cathetosaurus,vertical lizard,Herbivore,20.495615133803714,,5.394755156595289,Quadrupedal,Late Jurassic (Tithonian),"North America (Utah, USA)",Diplodocid sauropod; closely related to Camarasaurus,1998,"Morrison Formation, Utah",Robust build; previously referred to Camarasaurus,Low
Juratyrant,Juratyrant,Jurassic tyrant,Carnivore,5.498741526269715,792.5075756590686,2.349868778458445,Bipedal,Late Jurassic,Europe,Predatory tyrannosauroid,2000,UK,Strong jaws and sharp teeth,Medium
Archaeocursor,Archaeocursor,Ancient runner,,1.2248918775162192,9.726075813868626,0.38034063763080217,Bipedal,Jurassic,Europe,Theropod dinosaur,2011,Portugal,Small theropod,Small
Saurornithoides,Saurornithoides,Lizard bird-like,Carnivore,2.66418102542176,67.20611050500763,0.9380642890560542,Bipedal,Late Cretaceous,Asia,Troodontid dinosaur,1924,Mongolia,"Small, fast predator",Medium
Europatitan,Europatitan,European titan," CARNIVORE",28.282809066620523,20181.262962667668,6.216539714657408,Quadrupedal,Early Cretaceous (Barremian),Europe (Spain),Large sauropod with elongated neck and limbs,2017,"Rubielos de la Cérida Basin, Spain",Represents a basal somphospondylan,Low
Brachytrachelopan,Brachytrachelopan,La Amarga lizard,Herbivore,10.535634703501259,2407.282185281799,3.683997611371298,Quadrupedal,Early Cretaceous,Argentina,Neck spines,1991,Argentina,Neck spines,Low
Acrocanthosaurus,Acrocanthosaurus,High-spined lizard,Herbivor,11.169763128227123,,4.631322154686458,Bipedal,Early Cretaceous,"North America (Oklahoma, Texas)",Top predator; may have hunted large sauropods,1940s (described 1950),"Aptian-aged Antlers Formation, Oklahoma",Neural spines forming a ridge along the back,Medium
Leinkupal (not Leikupal),Leinkupal,Destroyer of friends,Herbivore,8.504507302086393,5282.132920172532,3.8424323057864713,Quadrupedal,Early Cretaceous,South America,Sauropod dinosaur,2014,Argentina,Large sauropod,Large
Aratasaurus,Aratasaurus,Arata lizard,Carnivore,7.248473078453152,380.50103415522335,1.9504708670173654,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2019,Brazil,Medium predator,Medium
Saurornitholestes,Saurornitholestes,Lizard bird thief,Carnivore,2.0466270371224367,47.56242746417166,0.8724205549815377,Bipedal,Late Cretaceous,North America,Troodontid dinosaur,1924,USA,Small agile predator,Medium
Proceratosaurus,Proceratosaurus,Before Ceratosaurus,Carnivore,6.24595250912224,681.542128282042,2.1841242575239272,Bipedal,Early Jurassic,Europe,Tyrannosauroid dinosaur,1910,England,Early tyrannosaur,Medium
Vectipelta,Vectipelta,Vectis shield,Herbivore,5.291279748158529,745.448684642605,1.45407874005365,Quadrupedal,Cretaceous,Europe,Ankylosaur dinosaur,2021,UK,Medium armored dinosaur,Medium
Invictarx,Invictarx,Unconquered shield,Herbivore,5.404321423266912,3291.0226092690336,2.522413757145092,Quadrupedal,Late Cretaceous,North America,Ankylosaur dinosaur,2018,USA,Medium ankylosaur,Medium
Merosaurus,Merosaurus,Part lizard,Carnivore,2.9399904508100505,nan kg,1.2672232089625526,Bipedal,Late Jurassic,Europe,Theropod dinosaur,1883,England,Small predatory dinosaur,Unknown
Soriatitan,Soriatitan,"Soria titan  ",Herbivore,15.015332082945038,17110.44019806076,4.75630102152424,Quadrupedal,Early Cretaceous,Europe,Sauropod dinosaur,2017,Spain,Large sauropod,Medium
Maraapunisaurus,Maraapunisaurus,Maraapuni lizard,Herbivore,31.98580192382473,32394.39508267541,7.535650210470052,Quadrupedal,Late Jurassic,North America,Sauropod dinosaur,2018,USA,Large sauropod,Large
Magnosaurus,Magnosaurus,Large lizard,Carnivore,5.0034119835436,462.9901067250315,2.1883582706475733,Bipedal,Early Jurassic,Europe,Allosauroid theropod,1923,UK,One of earliest large predators,Medium
Kileskus,Kileskus,Kilesk (river name),Carnivore,4.7569153530778525,476.3977192592656,2.0111828239626504,Bipedal,Early Jurassic,Asia (Russia),Theropod dinosaur,2010,Russia,Sharp teeth and agile build,Medium
Lokiceratops,Lokiceratops,Loki horned face,Herbivore,4.1694432940125115,,1.9622473987969797,Bipedal,Late Cretaceous,Asia,Ceratopsian dinosaur,2019,China,Medium ceratopsian,Medium
Datousaurus,Datousaurus,Sand lizard,Herbivore,4.138274594133973,275.50712889336484,-1.2436366119371476,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,USA,Slender build,Medium
Haestasaurus,Haestasaurus,Haesta lizard,Herbivore,23.770322814758764,23774.680649064256,7.631119479304687,Quadrupedal,Jurassic,Europe," Sauropod dinosaur",2014,UK,Large sauropod,Large
Barapasaurus,Barapasaurus,Sand lizard,Herbivore,3.8176126815187925,290.5203159521231,1.2710193250215047,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,USA,Slender build,Medium
Nipponosaurus,Nipponosaurus,Different lizard,Carnivore,11.502414127349024,1971.4617243396935,3.6068698724513792,Bipedal,Late Jurassic,North America,Pack hunter,1877,USA,Large skull,Medium
Mongolosaurus,Mongolosaurus,Mongolian lizard,Herbivore,8.385529338395967,4399.653950070172,2.9947830789901566,Quadrupedal,Late Cretaceous,Asia (China),Titanosaurian sauropod,1953,China,Large sauropod with robust build,Unknown
Gondwanatitan,Gondwanatitan,Gondwana titan,Herbivore,7.067233525075919,3258.520946543123,2.829480727488086,Quadrupedal,Late Cretaceous (Campanian–Maastrichtian),South America (Brazil),Titanosaurid sauropod from the southern continents,1999,"Bauru Group, Brazil",Helps clarify South American sauropod evolution,Low
Nanningosaurus,Nanningosaurus,Nanning lizard,Herbivore,3.2987449725975684,,1.0393057506440244,Bipedal,Late Cretaceous,Asia (China),Hadrosauroid dinosaur,2007,China,Medium-sized hadrosaur,Unknown
Aquilops,Aquilops,Near horned face,Herbivore,6.562896214760268,,1.9421617872206218,Quadrupedal,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low
Notocolossus,Notocolossus,Southern giant,Herbivore,26.129868053543127,37272.55044194398 kg,6.517531951673531,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,2016,Argentina,One of the largest known titanosaurs,Unknown
Nanyangosaurus,Nanyangosaurus,Nanyang lizard,Herbivore,6.100638600585144,2133.9210144246813,2.324711263706943,Bipedal,Late Cretaceous,Asia (China),Hadrosauroid dinosaur,2000,China,Late Cretaceous hadrosaur,Unknown
Xenoposeidon,Xenoposeidon,Foreign Poseidon,Herbivore,14.333354807068835,20714.906205297044,5.102778464938325,Quadrupedal,Jurassic,Europe,Sauropod dinosaur,2007,UK,Large sauropod,Large
Huanansaurus,Huanansaurus,Huanan lizard,Herbivore,6.704160874682056,2779.8476237495092,2.180071274708803,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2012,China,Medium theropod,Medium
Diodorus,Diodorus,Diodorus lizard,Carnivore,2.40636353276477,95.99073152142526,1.1155668938788927,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2007,USA,Small theropod,Small
Europatitan,Europatitan,European titan,Herbivore,28.64193330501049,18724.114191450888,6.303608501008237,Quadrupedal,Early Cretaceous (Barremian),Europe (Spain),Large sauropod with elongated neck and limbs,2017,"Rubielos de la Cérida Basin, Spain",Represents a basal somphospondylan,Low
Shenzhousaurus,Shenzhousaurus,Shenzhou lizard,Carnivore,1.618699083426418,20.93565362132257,0.8380842182293077,Bipedal,Early Cretaceous,Asia,Theropod dinosaur,2003,China,Small predator,Medium
Uberabatitan,Uberabatitan,Uberaba titan,Herbivore,20.66957619504088,32146.219567390493,6.84273510666734,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2004,Brazil,Large sauropod,Large
Jiutaisaurus,Jiutaisaurus,Jiutai lizard,Herbivore,11.244283922085096,12045.554254246326,4.922741103810285,Quadrupedal,Late Cretaceous,Asia (China),Titanosaur sauropod,2001,China,Huge body and long neck,Low
Yunyangosaurus,Yunyangosaurus,Yunyang lizard,Carnivore,7.483476557264366,768.7496324230626,2.3139904828556945,Bipedal,Cretaceous,Asia,Theropod dinosaur,2020,China,Medium predator,Medium
Bambiraptor,Bambiraptor,La Amarga lizard,unknown,10.953486725208958,2551.589984748685,3.704961841149366,Quadrupedal,Early Cretaceous,Argentina,Neck spines,1991,Argentina,Neck spines,Low
Clasmodosaurus,Clasmodosaurus,fragment tooth lizard,unknown,,,,Quadrupedal,Late Cretaceous (Campanian),South America (Argentina),Fragmentary sauropod genus; poorly known,1893,"Neuquén Province, Argentina",Tooth-based identification; nomen dubium,Unknown
Hualianceratops,Hualianceratops,Hualian horned face,Herbivore,3.04885101515099,163.0516018188794,1.0519234306407736,Bipedal,Late Cretaceous,Asia,Ceratopsian dinosaur,2015,China,Small ceratopsian,Small
Rugocaudia,Rugocaudia,Rugose tail,Herbivore,16.0269711468131,19137.954236999252,6.044749388843302,Quadrupedal,Late Cretaceous,North America,Sauropod dinosaur,2015,USA,Large sauropod,Large
Paraxenisaurus,Paraxenisaurus,Near strange lizard,Carnivore,4.737098631895793,2947.943612559009,2.951121286211255,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2019,USA,Medium theropod,Medium
Jeyawati,Jeyawati,Jeyawati (named after Hopi language term),Herbivore,5.159062845645668,,2.0556303795413142,Bipedal,Late Cretaceous,North America,Medium-sized hadrosauroid,2013,USA,Robust jaws and teeth,Medium
Invictarx,Invictarx,Unconquered shield,Herbivore,5.476025585208834,3246.6973159766703,2.3037314231169184,Quadrupedal,Late Cretaceous,North America,Ankylosaur dinosaur,2018,USA,Medium ankylosaur,Medium
Jiangshanosaurus,Jiangshanosaurus,Jiangshan lizard,Herbivore,8.56710546560235,10204.4267413861 kg,4.322516550192936,Quadrupedal,Late Cretaceous,Asia (China),Titanosaur sauropod,1975,China,Long neck and tail,Low
Astrophocaudia,Astrophocaudia,star tail,Herbivore,17.416634803444445,,6.570137784147121,Quadrupedal,Early Cretaceous (Albian),"North America (Texas, USA)",Titanosauriform sauropod with long tail,2012,"Trinity Group, Texas",Closely related to Sauroposeidon,Low
Sarcosaurus,Sarcosaurus woodi,Flesh lizard,Carnivore,,,,Bipedal,Early Jurassic (Sinemurian),England,Early theropod with hollow bones and elongated tail,1921,England,One of the earliest known theropods; fragmentary but significant find,Medium
Texacephale,Texacephale,"Texas head  ",Herbivore,2.406575186502086,96.74083399249517,1.0329249153376194,Bipedal,Late Cretaceous,North America,Pachycephalosaurid dinosaur,2009,USA,Small pachycephalosaur,Medium
Xenoposeidon,Xenoposeidon,Foreign Poseidon,Herbivore,15.998947870769896,18824.355736009573,4.6774943391761905,Quadrupedal,Jurassic,Europe,Sauropod dinosaur,2007,UK,Large sauropod,Large
Laquintasaura,Laquintasaura,La Quinta lizard,unknown,1.4420043152501947,,0.4835388155990432,Bipedal,Early Jurassic,South America,Ornithischian dinosaur,2014,Venezuela,"Small, early ornithischian",Medium
Lancanjiangosaurus,Lancanjiangosaurus,Lancang river lizard,Herbivore,5.903447295748894,3661.6921881804956,2.612107854510397,Bipedal,Late Jurassic,Asia (China),Sauropod dinosaur,1984,China,Known from vertebrae and limb bones,Medium
Nodosaurus,Nodosaurus,La Amarga lizard,Herbivore,9.829751970108664,2251.8640287393255,3.340897587023298,Quadrupedal,Early Cretaceous,Argentina,Neck spines,1991,Argentina,Neck spines,Low
Nodocephalosaurus,Nodocephalosaurus,Knob head lizard,Herbivore,3.862078126578335,1385.9320945269671,-1.4008251373108724,Quadrupedal,Late Cretaceous,North America,Ankylosaurid dinosaur,1996,USA,Armored dinosaur with distinctive skull,Unknown
Atrociraptor,Atrociraptor,Almond tooth,Herbivore,11.560134806490538,2964.9315018577386,2.9415745662652335,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low
Tototlmimus,Tototlmimus,Tototl mimic,Omnivore,3.158749796248136,91.12096109133574,1.0435944834063622,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2012,Mexico,Small predator,Small
Delapparentia,Delapparentia,for Delapparent,Herbivore,5.670216678555062,1379.607037355477,2.5603595894791704,Bipedal,Early Cretaceous (Barremian),Europe (Spain),Iguanodontian; more robust than Iguanodon,2011,"Escucha Formation, Spain","Large, strong hindlimbs; single known specimen",Medium
Sonidosaurus,Sonidosaurus,"Sonido lizard  ",Herbivore,6.400037703560816,3256.138574037733,2.3559436300742487,Quadrupedal,Late Cretaceous,Asia,Hadrosaurid dinosaur,1999,China,Medium hadrosaur,Medium
Tsintaosaurus,Tsintaosaurus,"Tsintaosaurus  ",Herbivore,9.262314318349684,4387.349482418867,2.751008596898615,Bipedal,Late Cretaceous,Asia,Hadrosaurid dinosaur,1958,China,Medium hadrosaur,Medium
Ischyrosaurus,Ischyrosaurus,Strong lizard,Carnivore,3.2957900772249884,140.87435993131413 kg,1.263835260310699,Bipedal,Late Jurassic,Europe (UK),Known from limited remains,1871,England,Robust limbs and large claws,Medium
Massospondylus,Massospondylus,Alvarez's lizard,Carnivore,4.075879340588832,965.2482408361884,1.8960713436278347,Bipedal,Late Cretaceous,Argentina,Small predator,1991,Argentina,Tiny arms,Medium
Yuxisaurus,Yuxisaurus,Yuxi lizard,Herbivore,4.311492938445313,1632.4254286363482,1.9893482023903966,Quadrupedal,Cretaceous,Asia,Ornithischian dinosaur,2020,China,Medium herbivore,Medium
Sonorasaurus,Sonorasaurus,"Sonora lizard  ",Herbivore,10.829297772797833,7346.707022217977,4.754709886872501,Quadrupedal,Late Cretaceous,North America,Hadrosaurid dinosaur,1998,USA,Large hadrosaur,Medium
Stegouros,Stegouros,Roof tail,Herbivore,3.433594832408433,945.9707665693021 kg,1.4248730669662881,Bipedal,Late Cretaceous,South America,Ankylosaur dinosaur,2021,Chile,Small ankylosaur,Small
Dahalokely,Dahalokely,small thief,Carnivore,3.6181646475435274,245.94298595089157,1.4000326641407637,Bipedal,Middle Cretaceous (Turonian),Africa (Madagascar),Noasaurid or abelisauroid; fragmentary remains,2013,"Ambolafotsy Formation, Madagascar",First mid-Cretaceous theropod from Madagascar,Medium
Lokiceratops,Lokiceratops,Loki horned face,Herbivore,4.171392515190054,1422.8528043786544,1.9953772529858496,Bipedal,Late Cretaceous,Asia,Ceratopsian dinosaur,2019,China,Medium ceratopsian,Medium
Draconyx,Draconyx,dragon claw,unknown,4.282743914763085,517.945644338068,1.4792194617312058,Bipedal,Late Jurassic (Kimmeridgian),Europe (Portugal),Iguanodontian with strong hindlimbs,2001,"Lourinhã Formation, Portugal",One of few known Portuguese ornithopods,Medium
Qianjiangsaurus,Qianjiangsaurus,Qianjiang lizard,"herbivore ",2.900589346542189,1378.1703747545914,1.480770196114141,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2019,China,Small theropod,Small
Riabininohadros,Riabininohadros,Riabinin hadrosaur,Herbivore,8.798763731660852,3327.069884385656,2.9955906415777536,Bipedal,Late Cretaceous,Europe,Hadrosaur dinosaur,2015,Ukraine,Large herbivore,Medium
Nuthetes,Nuthetes,Sharpening one,,1.060157668967833,15.68868435347521,0.5752905027099755,Bipedal,Early Cretaceous,Europe,Theropod dinosaur,1923,UK,Small carnivorous dinosaur,Unknown
Aragosaurus,Aragosaurus,Near bird,Carnivore,0.5075384819783599,,0.2523222867557243,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium
Koparion,Koparion,Cutting tooth,OMNIVORE,0.9324975651457839,,0.3073629702211796,Bipedal,Late Jurassic,North America,Tiny theropod,1991,USA,"Small teeth, fast runner",Medium
Talarurus,Talarurus plicatospineus,Wicker tail,unknown,,,1.5967290877618725,Quadrupedal,Late Cretaceous,Mongolia,Heavily armored ankylosaurid with tail club,1952,Gobi Desert Mongolia,Deep snout and tail club,Low
Saurornithoides,Saurornithoides,Lizard bird-like,Carnivore,2.6689877004443585,,1.0742984503654056,Bipedal,Late Cretaceous,Asia,Troodontid dinosaur,1924,Mongolia,"Small, fast predator",Medium
Iyuku,Iyuku,Iyuku lizard,Herbivore,1.620955367406407,45.88395981738727,0.635120551197821,Bipedal,Late Cretaceous,Africa,Theropod dinosaur,2019,South Africa,Small theropod,Small
Daspletosaurus,Daspletosaurus,La Amarga lizard,Herbivore,10.812630105429477,2699.7201681213346,3.20349135129779,Quadrupedal,Early Cretaceous,Argentina,Neck spines,1991,Argentina,Neck spines,Low
Thyreosaurus,Thyreosaurus,Shield lizard,Herbivore,5.516719493054105,2340.343674515614,2.540159880110422,Quadrupedal,Jurassic,Europe,Thyreophoran dinosaur,1984,Europe,Armored dinosaur,Medium
Balochisaurus,Balochisaurus,Balochistan lizard,Herbivore,9.228960426762088,5834.747927423845,4.165605619250138,Quadrupedal,Late Cretaceous (Maastrichtian),Asia (Pakistan),Titanosaurian sauropod from Indo-Pakistan region,2006,"Vitakri Formation, Balochistan",Discovered with Sulaimanisaurus; limited remains,Low
Brachypodosaurus,Brachypodosaurus,short-footed lizard,Unknown,,,,Unknown,Late Cretaceous (Maastrichtian),Asia (India),Poorly known; possible ankylosaur or ornithischian,1934,"Lameta Formation, India",Only humerus known; dubious classification,Unknown
Concavenator,Concavenator,Near horned face,Herbivore,6.475982988708983,2127.582927013929,1.8614369412581977,Quadrupedal,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low
Erythrovenator,Erythrovenator,Red hunter,Carnivore,4.344601614124819,146.7426529028664,1.6321382928706687,Bipedal,Late Triassic,South America,Theropod dinosaur,2019,Brazil,Medium theropod,Medium
Harpymimus,Harpymimus,Almond tooth,carnivor,12.880243560490108,2964.107159046397,2.7632960113358562,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low
Weewarrasaurus,Weewarrasaurus,Weewarra lizard,unknown,4.311013565976122,749.6037653838416,1.3236421787220505,Bipedal,Late Cretaceous,Australia,Hadrosaurid dinosaur,2019,Australia,Medium hadrosaur,Medium
Staurikosaurus,Staurikosaurus pricei,Southern cross lizard,Carnivore,2.1230167561566295,31.240066564075235,0.6605019040428189,Bipedal,Late Triassic,Brazil,Early herrerasaurid theropod,1936,Rio Grande do Sul,Balanced runner; slender body and long tail,Medium
Cumnoria,Cumnoria,from Cumnor,Herbivore,4.331060805768245,833.1388682066404,2.0103546838149366,Bipedal,Late Jurassic (Kimmeridgian),Europe (England),Iguanodontian with robust limb proportions,1879,"Kimmeridge Clay, Oxfordshire",Early representative of styracosternans,Medium
Fusuisaurus,Fusuisaurus,Fusui lizard,Herbivore,21.055321385881847,18946.508430014896,4.624507069421099,Quadrupedal,Late Cretaceous (Cenomanian),Asia (China),Titanosauriform with elongated neck bones,2008,"Nalong Basin, Guangxi Province",Known from partial vertebrae and limb bones,Low
Gargoyleosaurus,Gargoyleosaurus,Near horned face,Herbivore,5.505583556548883,,2.059086947942816,Quadrupedal,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low
Postosuchus,Postosuchus,Post crocodile,Carnivore,4.88447150152491,591.3879597075879,2.191956464128497,Bipedal,Late Triassic,North America,Pseudosuchian archosaur,1937,USA,Top predator of its time,Medium
Loncosaurus,Loncosaurus,Chief lizard,Carnivore,1.646432949447456,,0.6623290610748293,Bipedal,Late Cretaceous,South America,Small theropod dinosaur,1939,Argentina,Fragmentary remains,Unknown
Chassternbergia,Chassternbergia,Named after Sternberg,Herbivore,6.684949832743592,3185.7004473703305,2.4715725726926583,Quadrupedal,Late Cretaceous,North America,Sauropod dinosaur,2019,Canada,Medium sauropod,Medium
Hanssuesia,Hanssuesia,named after Hans Sues,OMNIVORE,4.854280746041848,,1.3411568012260395,Quadrupedal,Late Cretaceous (Campanian),North America (Canada),Pachycephalosaurid with dome-shaped skull,1992,"Alberta, Canada","Thick domed skull, possibly used in head-butting",Low
Sciurumimus,Sciurumimus,Squirrel mimic,Carnivore,2.08749924499714,15.590664259961464,0.6860020918879175,Bipedal,Late Jurassic,Europe,Theropod dinosaur,2012,Germany,Small feathered predator,Medium
Xixiposaurus,Xixiposaurus,Xixi lizard,Herbivore,3.718087889169002,181.15001642791086,-1.162276076392678,Bipedal,Late Cretaceous,Asia,Ornithischian dinosaur,2010,China,Medium herbivore,Medium
Huabeisaurus,Huabeisaurus,Huabei lizard,Herbivore,19.315706441292924,14343.804049635446,5.36681776515346,Quadrupedal,Late Cretaceous,Asia (China),Large titanosaur sauropod,2001,China,Massive long-necked herbivore,Low
Hierosaurus,Hierosaurus,holy lizard,Herbivore,5.1112675933574305,1024.7488685646688,2.106309184573435,Quadrupedal,Late Cretaceous,Europe (Croatia),Thyreophoran dinosaur related to ankylosaurs,1990,Croatia,Armored dinosaur with clubbed tail,Low
Neosodon,Neosodon,New tooth,Herbivore,10.150358960444372,10099.98687877174,3.8536564321579467,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur,1870,France,Large sauropod with limited fossils,Unknown
Niebla,Niebla,Mist,Herbivore,7.1215053586156225,3745.8149378026756,2.5600266427481766,Bipedal,Late Jurassic,North America,Sauropod dinosaur,2018,USA,Medium sauropod,Medium
Brachylophosaurus,Brachylophosaurus,Alvarez's lizard,Carnivore,1.9255847667147694,20.339244568881583,0.8512824470459752,Bipedal,Late Cretaceous,Argentina,Small predator,1991,Argentina,Tiny arms,Medium
Tonganosaurus,Tonganosaurus,"Tongano lizard  ",Herbivore,12.930215600387083,,5.218267152819972,Quadrupedal,Early Jurassic,Asia,Sauropod dinosaur,1996,China,Large sauropod,Medium
